0:0:0:0:0:0:0:1 - - [02/Jun/2017:10:28:10 +0530] "GET /Ajax/Lecture2(JSON)/json.jsp?cn=PAKISTAN HTTP/1.1" 200 94
0:0:0:0:0:0:0:1 - - [02/Jun/2017:10:30:57 +0530] "GET /Ajax/Lecture2(JSON)/contry.jsp HTTP/1.1" 200 472
0:0:0:0:0:0:0:1 - - [02/Jun/2017:10:30:57 +0530] "GET /Ajax/Lecture2(JSON)/get.js HTTP/1.1" 200 578
0:0:0:0:0:0:0:1 - - [02/Jun/2017:10:30:57 +0530] "GET /favicon.ico HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [02/Jun/2017:10:31:09 +0530] "GET /Ajax/Lecture2(JSON)/json.jsp?cn=PAKISTAN HTTP/1.1" 200 94
0:0:0:0:0:0:0:1 - - [02/Jun/2017:10:31:14 +0530] "GET /Ajax/Lecture2(JSON)/json.jsp?cn=USA HTTP/1.1" 200 94
0:0:0:0:0:0:0:1 - - [02/Jun/2017:10:32:57 +0530] "GET /Ajax/Lecture2(JSON)/json.jsp?cn=PAKISTAN HTTP/1.1" 200 94
0:0:0:0:0:0:0:1 - - [02/Jun/2017:10:33:01 +0530] "GET /Ajax/Lecture2(JSON)/json.jsp?cn=India HTTP/1.1" 200 94
0:0:0:0:0:0:0:1 - - [02/Jun/2017:10:33:06 +0530] "GET /Ajax/Lecture2(JSON)/json.jsp?cn=USA HTTP/1.1" 200 94
0:0:0:0:0:0:0:1 - - [02/Jun/2017:10:33:40 +0530] "GET /Ajax/Lecture2(JSON)/json.jsp?cn=PAKISTAN HTTP/1.1" 200 94
0:0:0:0:0:0:0:1 - - [02/Jun/2017:10:33:44 +0530] "GET /Ajax/Lecture2(JSON)/json.jsp?cn=India HTTP/1.1" 200 94
